col0	No	種類	地域	市区町村コード	都道府県名	市区町村名	地区名	最寄駅：名称	最寄駅：距離（分）	取引価格（総額）	坪単価	間取り	面積（㎡）	取引価格（㎡単価）	土地の形状	間口	延床面積（㎡）	建築年	建物の構造	用途	今後の利用目的	前面道路：方位	前面道路：種類	前面道路：幅員（ｍ）	都市計画	建ぺい率（％）	容積率（％）	取引時点	改装	取引の事情等
3626	3627	宅地(土地)	住宅地	13111	東京都	大田区	上池台	洗足池	4	59000000	2500000.0		80	760000.0	長方形	6.0					住宅	東	私道	3.5	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
3629	3630	宅地(土地)	住宅地	13112	東京都	世田谷区	若林	若林(東京)	2	67000000	3000000.0		75	910000.0	ほぼ長方形	4.8					住宅	南西	区道	5.5	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
3645	3646	宅地(土地)	住宅地	13113	東京都	渋谷区	上原	代々木上原	5	120000000	5900000.0		65	1800000.0	ほぼ長方形						住宅	南東	区道	5.3	第２種中高層住居専用地域	60.0	300.0	2021年第３四半期		
3646	3647	宅地(土地)	住宅地	13113	東京都	渋谷区	上原	代々木上原	7	420000000	4700000.0		290	1400000.0	ほぼ長方形	13.0					住宅	北東	区道	5.4	第１種低層住居専用地域	60.0	150.0	2021年第３四半期		
3655	3656	宅地(土地)	住宅地	13111	東京都	大田区	上池台	馬込	10	50000000	1000000.0		160	310000.0	ほぼ台形	22.0					住宅	東	区道	7.3	第２種中高層住居専用地域	60.0	200.0	2021年第４四半期		
3664	3665	宅地(土地)	住宅地	13111	東京都	大田区	北千束	北千束		100000000	3000000.0		115	900000.0	ほぼ台形	6.5					店舗	東	区道	8.0	第１種中高層住居専用地域	60.0	200.0	2021年第４四半期		
3675	3676	宅地(土地)	住宅地	13113	東京都	渋谷区	恵比寿南	恵比寿	7	120000000	6000000.0		65	1800000.0	ほぼ長方形	5.3					住宅	北東	私道	2.7	第２種中高層住居専用地域	60.0	300.0	2021年第３四半期		私道を含む取引
3677	3678	宅地(土地)	住宅地	13111	東京都	大田区	北馬込	馬込	5	400000000	3500000.0		380	1000000.0	長方形	19.9					その他	南西	区道	5.5	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
3681	3682	宅地(土地)	住宅地	13111	東京都	大田区	北嶺町	雪が谷大塚	8	45000000	3000000.0		50	900000.0	ほぼ長方形	5.0					住宅	南	区道	6.0	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
3683	3684	宅地(土地)	住宅地	13111	東京都	大田区	久が原	御嶽山	12	75000000	2100000.0		115	650000.0	長方形	9.0					住宅	北西	区道	7.2	第１種中高層住居専用地域	60.0	200.0	2021年第４四半期		
3703	3704	宅地(土地)	住宅地	13111	東京都	大田区	山王	大森(東京)	9	53000000	2500000.0		70	760000.0	長方形	4.4					住宅	西	私道	3.4	第１種低層住居専用地域	50.0	100.0	2021年第４四半期		私道を含む取引
3705	3706	宅地(土地)	住宅地	13111	東京都	大田区	山王	大森(東京)	6	79000000	2700000.0		95	820000.0	袋地等						住宅	北東	私道	4.0	第１種低層住居専用地域	50.0	100.0	2021年第４四半期		
3720	3721	宅地(土地)	住宅地	13113	東京都	渋谷区	神宮前	表参道	2	350000000	14000000.0		85	4200000.0	ほぼ長方形	5.7					店舗	南東	区道	4.2	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
3727	3728	宅地(土地)	住宅地	13111	東京都	大田区	下丸子	下丸子	5	28000000	2400000.0		40	720000.0	ほぼ長方形	4.5					住宅	南	私道	4.0	第１種住居地域	60.0	200.0	2021年第４四半期		
